Cruise,Station,lon,lat,z,pres,temp,sal,theta,sigma,o2
SR04_06AQANTIX_2,95,342.7367,-69.0767,2970.27,3021.9999467948924,-0.2419,34.658699,-0.4215896808377144,27.851855096964073,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2974.174,3025.9998238625863,-0.2429,34.658001,-0.42289979911732634,27.85135238198268,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2978.078,3029.999773008289,-0.2429,34.658699,-0.42324014634970397,27.851932972635723,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2981.982,3033.999794227561,-0.2439,34.659199,-0.42455690491673426,27.852399473058313,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2985.886,3037.999887515963,-0.2439,34.658501,-0.4248904717130724,27.851850662702873,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2989.79,3042.000052869055,-0.2449,34.659,-0.4262076488816253,27.852316345963573,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2993.694,3046.0002902823967,-0.2449,34.658401,-0.42654219398930365,27.851847641503355,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2997.597,3049.9995750728904,-0.2449,34.6577,-0.42687636101162957,27.851296418689117,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,3001.501,3053.9999565749595,-0.2459,34.658199,-0.42819418361190587,27.851762096060156,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,3005.405,3058.000410123961,-0.2479,34.658501,-0.4304882016912218,27.852114376543568,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,3009.308,3061.9999109814394,-0.2489,34.659,-0.43180631432225675,27.85258001142074,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,3013.211,3065.999483840072,-0.2499,34.659401,-0.4331241145279253,27.852966347414622,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,3017.115,3070.0001534663334,-0.2499,34.658798,-0.43345997967632693,27.85249442485656,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,3021.018,3073.9998703324127,-0.2499,34.656898,-0.43378917409422485,27.850973140893984,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,3024.921,3077.9996591863382,-0.2499,34.6576,-0.43413230138810915,27.851557069806404,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,3028.824,3081.999520023673,-0.2509,34.658001,-0.43545096516704485,27.85194340111957,NA
